                      List of relations
 Schema |              Name               | Type  |  Owner   
--------+---------------------------------+-------+----------
 public | accession_jobs                  | table | postgres
 public | aisle_numbers                   | table | postgres
 public | aisles                          | table | postgres
 public | alembic_version                 | table | postgres
 public | audit_log                       | table | postgres
 public | barcode_types                   | table | postgres
 public | barcodes                        | table | postgres
 public | batch_uploads                   | table | postgres
 public | buildings                       | table | postgres
 public | container_types                 | table | postgres
 public | conveyance_bins                 | table | postgres
 public | delivery_locations              | table | postgres
 public | group_permissions               | table | postgres
 public | groups                          | table | postgres
 public | item_withdrawals                | table | postgres
 public | items                           | table | postgres
 public | items_retrieval_events          | table | postgres
 public | ladder_numbers                  | table | postgres
 public | ladders                         | table | postgres
 public | media_types                     | table | postgres
 public | modules                         | table | postgres
 public | move_discrepancies              | table | postgres
 public | non_tray_item_withdrawals       | table | postgres
 public | non_tray_items                  | table | postgres
 public | non_tray_items_retrieval_events | table | postgres
 public | owner_tiers                     | table | postgres
 public | owners                          | table | postgres
 public | permissions                     | table | postgres
 public | pick_lists                      | table | postgres
 public | priorities                      | table | postgres
 public | refile_items                    | table | postgres
 public | refile_jobs                     | table | postgres
 public | refile_non_tray_items           | table | postgres
 public | request_types                   | table | postgres
 public | requests                        | table | postgres
 public | shelf_numbers                   | table | postgres
 public | shelf_position_numbers          | table | postgres
 public | shelf_positions                 | table | postgres
 public | shelf_types                     | table | postgres
 public | shelves                         | table | postgres
 public | shelving_job_discrepancies      | table | postgres
 public | shelving_jobs                   | table | postgres
 public | side_orientations               | table | postgres
 public | sides                           | table | postgres
 public | size_class                      | table | postgres
 public | subcollections                  | table | postgres
 public | tray_withdrawals                | table | postgres
 public | trays                           | table | postgres
 public | user_groups                     | table | postgres
 public | users                           | table | postgres
 public | verification_changes            | table | postgres
 public | verification_jobs               | table | postgres
 public | withdraw_jobs                   | table | postgres
 public | workflow                        | table | postgres
(54 rows)

