File,Line,Method,API Call String
fetch-vue/src/stores/shelving-store.js,175,GET,`${inventoryServiceApi.shelvesBarcode}${barcode_value}`
fetch-vue/src/stores/shelving-store.js,185,GET,`${inventoryServiceApi.shelvesBarcode}${barcode_value}/next-position`
fetch-vue/src/stores/shelving-store.js,216,GET,`${inventoryServiceApi.shelvingJobs}${id}`
fetch-vue/src/stores/shelving-store.js,392,GET,`${inventoryServiceApi.traysBarcode}${barcode_value}`
fetch-vue/src/stores/shelving-store.js,400,GET,`${inventoryServiceApi.itemsBarcode}${barcode_value}`
fetch-vue/src/stores/shelving-store.js,408,GET,`${inventoryServiceApi.nonTrayItemsBarcode}${barcode_value}`
fetch-vue/src/stores/shelving-store.js,439,GET,`${inventoryServiceApi.shelvingJobs}${jobId}/containers`
fetch-vue/src/stores/shelving-store.js,451,POST,`${inventoryServiceApi.shelvingJobs}${jobId}/containers`
fetch-vue/src/stores/shelving-store.js,465,DELETE,`${inventoryServiceApi.shelvingJobs}${jobId}/containers/${containerId}`
fetch-vue/src/stores/shelving-store.js,477,POST,`${inventoryServiceApi.shelvingJobs}${jobId}/cancel`
fetch-vue/src/stores/shelving-store.js,489,POST,`${inventoryServiceApi.shelvingJobs}${jobId}/pre-assign`
fetch-vue/src/stores/shelving-store.js,501,PATCH,`${inventoryServiceApi.shelvingJobs}${jobId}/containers/${containerId}/override`
fetch-vue/src/stores/shelving-store.js,516,POST,`${inventoryServiceApi.shelvingJobs}${jobId}/scan-container`
fetch-vue/src/stores/record-management-store.js,31,GET,`${inventoryServiceApi.itemsBarcode}${barcodeValue}`
fetch-vue/src/stores/record-management-store.js,32,GET,`${inventoryServiceApi.nonTrayItemsBarcode}${barcodeValue}`
fetch-vue/src/stores/record-management-store.js,64,GET,`${inventoryServiceApi.traysBarcode}${barcodeValue}`
fetch-vue/src/stores/record-management-store.js,72,GET,`${inventoryServiceApi.shelvesBarcode}${barcodeValue}`
fetch-vue/src/stores/record-management-store.js,80,GET,`${inventoryServiceApi.shelvesBarcode}${this.shelfDetails.barcode.value}/shelved`
fetch-vue/src/stores/record-management-store.js,100,PATCH,`${inventoryServiceApi.trays}${trayId}`
fetch-vue/src/stores/record-management-store.js,117,PATCH,`${inventoryServiceApi.nonTrayItems}${itemId}`
fetch-vue/src/stores/record-management-store.js,130,GET,`${inventoryServiceApi.itemsIlsMetadata}${barcodeValue}/ils-metadata`
