File,Line,Method,Path,Suggested Fix
accession_jobs.py,117,GET,/{id},/{id}/
accession_jobs.py,130,GET,/workflow/{id},/workflow/{id}/
accession_jobs.py,200,PATCH,/{id},/{id}/
accession_jobs.py,341,DELETE,/{id},/{id}/
aisle_numbers.py,59,GET,/numbers/{id},/numbers/{id}/
aisle_numbers.py,90,PATCH,/numbers/{id},/numbers/{id}/
aisle_numbers.py,118,DELETE,/numbers/{id},/numbers/{id}/
aisles.py,77,GET,/{id},/{id}/
aisles.py,107,PATCH,/{id},/{id}/
aisles.py,137,DELETE,/{id},/{id}/
audit_trails.py,60,GET,/{table_name}/{record_id},/{table_name}/{record_id}/
audit_trails.py,120,GET,/entity/{entity_type}/{entity_id},/entity/{entity_type}/{entity_id}/
barcode_types.py,60,GET,/types/{id},/types/{id}/
barcode_types.py,94,PATCH,/types/{id},/types/{id}/
barcode_types.py,124,DELETE,/types/{id},/types/{id}/
barcodes.py,64,GET,/value/{value},/value/{value}/
barcodes.py,84,GET,/{id},/{id}/
barcodes.py,150,PATCH,/{id},/{id}/
barcodes.py,191,DELETE,/{id},/{id}/
batch_upload.py,110,GET,/{id},/{id}/
batch_upload.py,125,DELETE,/{id},/{id}/
batch_upload.py,387,PATCH,/{id},/{id}/
batch_upload.py,574,POST,/withdraw-jobs/{job_id},/withdraw-jobs/{job_id}/
buildings.py,78,GET,/{id},/{id}/
buildings.py,110,PATCH,/{id},/{id}/
buildings.py,140,DELETE,/{id},/{id}/
container_types.py,67,GET,/{id},/{id}/
container_types.py,99,PATCH,/{id},/{id}/
container_types.py,129,DELETE,/{id},/{id}/
conveyance_bins.py,61,GET,/{id},/{id}/
conveyance_bins.py,94,PATCH,/{id},/{id}/
conveyance_bins.py,124,DELETE,/{id},/{id}/
delivery_locations.py,78,GET,/locations/{id},/locations/{id}/
delivery_locations.py,113,PATCH,/locations/{id},/locations/{id}/
delivery_locations.py,144,DELETE,/locations/{id},/locations/{id}/
groups.py,62,GET,/{id},/{id}/
groups.py,96,PATCH,/{id},/{id}/
groups.py,122,DELETE,/{id},/{id}/
groups.py,140,GET,/{id}/users,/{id}/users/
groups.py,152,POST,/{group_id}/add_user/{user_id},/{group_id}/add_user/{user_id}/
groups.py,177,DELETE,/{group_id}/remove_user/{user_id},/{group_id}/remove_user/{user_id}/
groups.py,210,GET,/{group_id}/permissions,/{group_id}/permissions/
ils_configurations.py,35,GET,/{config_id},/{config_id}/
ils_configurations.py,75,PATCH,/{config_id},/{config_id}/
ils_configurations.py,110,DELETE,/{config_id},/{config_id}/
ils_sync_errors.py,35,PATCH,/{id}/resolve,/{id}/resolve/
ils_sync_errors.py,54,POST,/{id}/retry,/{id}/retry/
item_retrieval_events.py,56,GET,/{id},/{id}/
item_retrieval_events.py,88,PATCH,/{id},/{id}/
item_retrieval_events.py,116,DELETE,/{id},/{id}/
items.py,194,GET,/{id},/{id}/
items.py,206,GET,/barcode/{value},/barcode/{value}/
items.py,228,GET,/barcode/{value}/metadata,/barcode/{value}/metadata/
items.py,414,PATCH,/{id},/{id}/
items.py,517,DELETE,/{id},/{id}/
items.py,542,POST,/move/{barcode_value},/move/{barcode_value}/
items.py,725,GET,/{barcode_value}/ils-metadata,/{barcode_value}/ils-metadata/
ladder_numbers.py,59,GET,/numbers/{id},/numbers/{id}/
ladder_numbers.py,91,PATCH,/numbers/{id},/numbers/{id}/
ladder_numbers.py,119,DELETE,/numbers/{id},/numbers/{id}/
ladders.py,88,GET,/{id},/{id}/
ladders.py,128,PATCH,/{id},/{id}/
ladders.py,159,DELETE,/{id},/{id}/
media_types.py,66,GET,/{id},/{id}/
media_types.py,98,PATCH,/{id},/{id}/
media_types.py,128,DELETE,/{id},/{id}/
modules.py,76,GET,/{id},/{id}/
modules.py,109,PATCH,/{id},/{id}/
modules.py,135,DELETE,/{id},/{id}/
non_tray_item_retrieval_events.py,55,GET,/{id},/{id}/
non_tray_item_retrieval_events.py,89,PATCH,/{id},/{id}/
non_tray_item_retrieval_events.py,117,DELETE,/{id},/{id}/
non_tray_items.py,178,GET,/{id},/{id}/
non_tray_items.py,191,GET,/barcode/{value},/barcode/{value}/
non_tray_items.py,370,PATCH,/{id},/{id}/
non_tray_items.py,503,DELETE,/{id},/{id}/
non_tray_items.py,528,POST,/move/{barcode_value},/move/{barcode_value}/
owner_tiers.py,59,GET,/tiers/{id},/tiers/{id}/
owner_tiers.py,90,PATCH,/tiers/{id},/tiers/{id}/
owner_tiers.py,119,DELETE,/tiers/{id},/tiers/{id}/
owners.py,84,GET,/{id},/{id}/
